Nom,Province,Identification Climat,Identification Station,Identification OMM,Identification TC,Latitude (degres decimaux),Longitude (degres decimaux),Latitude,Longitude,Altitude (m),Annee de debut,Annee de fin,Annee de debut HLY,Annee de fin HLY,Annee de debut DLY,Annee de fin DLY,Annee de debut MLY,Annee de fin MLY
ACTIVE PASS,COLOMBIE-BRITANNIQUE,1010066,14,,,48.87,-123.28,485200000,-1231700000,4.0,1984,1996,,,1984.0,1996.0,1984.0,1996.0
ALBERT HEAD,COLOMBIE-BRITANNIQUE,1010235,15,,,48.4,-123.48,482400000,-1232900000,17.0,1971,1995,,,1971.0,1995.0,1971.0,1995.0
BAMBERTON OCEAN CEMENT,COLOMBIE-BRITANNIQUE,1010595,16,,,48.58,-123.52,483500000,-1233100000,85.3,1961,1980,,,1961.0,1980.0,1961.0,1980.0
BEAR CREEK,COLOMBIE-BRITANNIQUE,1010720,17,,,48.5,-124.0,483000000,-1240000000,350.5,1910,1971,,,1910.0,1971.0,1910.0,1971.0
BEAVER LAKE,COLOMBIE-BRITANNIQUE,1010774,18,,,48.5,-123.35,483000000,-1232100000,61.0,1894,1952,,,1894.0,1952.0,1894.0,1952.0
BECHER BAY,COLOMBIE-BRITANNIQUE,1010780,19,,,48.33,-123.63,482000000,-1233800000,12.2,1956,1966,,,1956.0,1966.0,1956.0,1966.0
BRENTWOOD BAY 2,COLOMBIE-BRITANNIQUE,1010960,20,,,48.6,-123.47,483600000,-1232800000,38.0,1987,1997,,,1987.0,1997.0,1987.0,1997.0
BRENTWOOD CLARKE ROAD,COLOMBIE-BRITANNIQUE,1010961,21,,,48.57,-123.45,483400000,-1232700000,30.5,1972,1980,,,1972.0,1980.0,1972.0,1980.0
BRENTWOOD W SAANICH RD,COLOMBIE-BRITANNIQUE,1010965,22,,,48.57,-123.43,483400000,-1232600000,91.4,1960,1970,,,1960.0,1970.0,1960.0,1970.0
CENTRAL SAANICH VEYANESS,COLOMBIE-BRITANNIQUE,1011467,25,,,48.58,-123.42,483500000,-1232500000,53.3,1963,1994,,,1963.0,1994.0,1963.0,1994.0
CENTRAL SAANICH ISL VIEW,COLOMBIE-BRITANNIQUE,10114F6,24,,,48.57,-123.39,483424030,-1232331660,38.0,1970,2008,,,1970.0,2008.0,1970.0,2007.0
CENTRAL SAANICH TANNER,COLOMBIE-BRITANNIQUE,10114FF,23,,,48.55,-123.4,483300000,-1232400000,88.4,1966,1968,,,1966.0,1968.0,1966.0,1968.0
CHEMAINUS,COLOMBIE-BRITANNIQUE,1011500,26,,,48.94,-123.74,485606080,-1234430000,75.0,1919,2021,,,1919.0,2021.0,1919.0,2007.0
COBBLE HILL,COLOMBIE-BRITANNIQUE,1011743,27,,,48.68,-123.6,484100000,-1233600000,99.0,1990,1994,,,1990.0,1994.0,1990.0,1994.0
