Nom,Province,Identification Climat,Identification Station,Identification OMM,Identification TC,Latitude (degres decimaux),Longitude (degres decimaux),Latitude,Longitude,Altitude (m),Annee de debut,Annee de fin,Annee de debut HLY,Annee de fin HLY,Annee de debut DLY,Annee de fin DLY,Annee de debut MLY,Annee de fin MLY
BARRIERE STONEHAM,QUEBEC,7010478,5205,,,47.17,-71.25,471000000,-711500000,597.4,1963,1976,,,1963.0,1976.0,1963.0,1976.0
BARRIERE TOURILLI,QUEBEC,7010480,5206,,,47.17,-71.62,471000000,-713700000,493.8,1949,1960,,,1949.0,1960.0,1949.0,1960.0
BEAUPORT,QUEBEC,7010565,27803,71578.0,XBO,46.84,-71.2,465013000,-711150000,10.0,1999,2021,1999.0,2021.0,1999.0,2021.0,,
BEAUPORT,QUEBEC,7010566,5207,,,46.88,-71.2,465300000,-711200000,84.1,1982,1985,,,1982.0,1985.0,1982.0,1985.0
BERTHIERVILLE,QUEBEC,7010720,5208,,,46.05,-73.18,460300000,-731100000,12.2,1919,1995,,,1919.0,1995.0,1919.0,1995.0
CAP DE LA MADELEINE,QUEBEC,7011045,5209,,,46.37,-72.53,462200000,-723200000,17.1,1920,1932,,,1920.0,1932.0,1920.0,1932.0
CAP ROUGE,QUEBEC,7011170,5210,,,46.77,-71.3,464600000,-711800000,12.2,1911,1940,,,1911.0,1940.0,1911.0,1940.0
CHAMPLAIN,QUEBEC,7011290,5211,,,46.47,-72.33,462800000,-722000000,12.0,1980,2011,,,1980.0,2011.0,1981.0,2011.0
CHARLESBOURG JAR ZOO,QUEBEC,7011308,5212,,,46.9,-71.3,465400000,-711800000,152.4,1963,1977,,,1963.0,1977.0,1963.0,1977.0
CHARLESBOURG PARC ORLEAN,QUEBEC,7011309,5213,,,46.87,-71.27,465200000,-711600000,114.3,1971,2007,,,1971.0,2007.0,1971.0,1997.0
CHUTE PANET,QUEBEC,7011600,5214,,,46.87,-71.87,465200000,-715200000,152.4,1949,1982,,,1949.0,1982.0,1949.0,1982.0
CLUB TOURILLI,QUEBEC,7011760,5215,,,47.03,-71.7,470200000,-714200000,265.2,1949,1951,,,1949.0,1951.0,1949.0,1951.0
CLUB TOURILLI,QUEBEC,7011800,5216,,,47.08,-71.9,470500000,-715400000,249.9,1949,1953,,,1949.0,1953.0,1949.0,1953.0
COTEAU DU LAC,QUEBEC,7011947,5217,,,45.32,-74.17,451900000,-741000000,49.4,1966,2021,,,1966.0,2021.0,1966.0,2018.0
COURVILLE,QUEBEC,7011950,5218,,,46.87,-71.17,465200000,-711000000,76.2,1963,1964,,,1963.0,1964.0,1963.0,1964.0
DEPOT JOBIN,QUEBEC,7011960,5219,,,47.23,-71.63,471400000,-713800000,688.8,1950,1959,,,1950.0,1959.0,1950.0,1959.0
DESCHAMBAULT,QUEBEC,7011982,5220,,,46.67,-71.92,464000000,-715500000,15.2,1971,2021,,,1971.0,2021.0,1971.0,2018.0
DESCHAMBAULT,QUEBEC,7011983,27325,71389.0,WHQ,46.69,-71.97,464127000,-715818000,61.0,1997,2021,1997.0,2021.0,1997.0,2021.0,,
DOMAINE-DE-MAIZERETS,QUEBEC,7012040,6913,,,46.83,-71.22,465000000,-711300000,6.0,1991,1994,,,1991.0,1994.0,1991.0,1994.0
DONNACONA,QUEBEC,7012070,5221,,,46.67,-71.75,464000000,-714500000,10.7,1918,1964,,,1918.0,1964.0,1918.0,1964.0
DONNACONA 2,QUEBEC,7012071,5222,,,46.68,-71.73,464100000,-714400000,45.7,1952,2008,,,1952.0,2008.0,1953.0,2008.0
DUBERGER,QUEBEC,7012232,5223,,,46.82,-71.3,464900000,-711800000,15.2,1971,1993,,,1971.0,1993.0,1971.0,1993.0
DUCHESNAY,QUEBEC,7012240,5224,,,46.87,-71.65,465200000,-713900000,166.1,1963,1994,,,1963.0,1994.0,1963.0,1994.0
HEROUXVILLE,QUEBEC,7013100,5225,,,46.67,-72.6,464000000,-723600000,145.0,1966,2021,,,1966.0,2021.0,1966.0,2018.0
HERVEY JONCTION,QUEBEC,7013102,5226,,,46.85,-72.47,465100000,-722800000,177.4,1926,1978,,,1926.0,1978.0,1926.0,1978.0
HUDSON HEIGHTS,QUEBEC,7013200,5227,,,45.47,-74.17,452800000,-741000000,26.8,1952,1955,,,1952.0,1955.0,1952.0,1955.0
ILE BOUCHARD,QUEBEC,7013279,5228,,,45.82,-73.35,454900000,-732100000,9.1,1974,1975,,,1974.0,1975.0,,
ILE D'ORLEANS,QUEBEC,70132G9,8989,71424.0,WER,47.0,-70.81,465948000,-704830000,3.6,1992,2021,1994.0,2021.0,1992.0,2021.0,,
JOLIETTE,QUEBEC,7013360,5229,,,46.03,-73.43,460200000,-732600000,58.5,1913,1972,,,1913.0,1972.0,1913.0,1972.0
JOLIETTE VILLE,QUEBEC,7013362,5230,,,46.02,-73.43,460100000,-732600000,56.0,1967,2011,,,1967.0,2011.0,1967.0,2011.0
LAC BROWN,QUEBEC,7013570,5231,,,46.92,-73.17,465500000,-731000000,365.8,1973,1977,,,1973.0,1977.0,1973.0,1977.0
LAC EDOUARD,QUEBEC,7013640,5232,,,47.65,-72.27,473900000,-721600000,369.7,1949,1958,,,1949.0,1958.0,1949.0,1958.0
LAC EDOUARD S,QUEBEC,7013642,5233,,,47.67,-72.27,474000000,-721600000,364.2,1973,1975,,,1973.0,1975.0,1973.0,1975.0
LAC JACQUES CARTIER,QUEBEC,7013655,5234,,,47.57,-71.23,473400000,-711400000,798.6,1963,1974,,,1963.0,1974.0,1963.0,1974.0
LAC MINOGAMI,QUEBEC,7013678,5235,,,46.67,-72.87,464000000,-725200000,259.1,1964,1978,,,1964.0,1978.0,1964.0,1978.0
LAKE EDWARD,QUEBEC,7013735,5236,,,47.65,-72.25,473900000,-721500000,406.3,1910,1925,,,1910.0,1925.0,1910.0,1925.0
